song,artist
Nobody Knows You When You're Down and Out - 78rpm Version,Bessie Smith
Pan American Blues,Various Artists
"Stealin', Stealin' - Remastered 2002",Memphis Jug Band
Mon Homme,Various Artists
Heebie Jeebies,Louis Armstrong
Candy Man Blues,Mississippi John Hurt
Copenhagen,Fletcher Henderson
Lovesick Blues,Emmett Miller
Love Me or Leave Me,Ruth Etting
"Bye-Bye, Blackbird (1926)",Gene Austin
It Had To Be You,Various Artists
Big Road Blues,Tommy Johnson
Ory's Creole Trombone,Various Artists
Grandpa Spells,Jelly Roll Morton
Mother's Children Have a Hard Time,Blind Willie Johnson
I Can't Give You Anything But Love,Louis Armstrong
Doctor Jazz Stomp,Jelly Roll Morton
James Alley Blues,Various Artists
"California, Here I Come (1924)",Al Jolson
The Stampede,Fletcher Henderson
Back Water Blues,Bessie Smith
Tight Like This,Louis Armstrong
The Titanic,Ernest Stoneman
'Tain't Nobody's Bizness If I Do,Bessie Smith
Chimes Blues - Original,King Oliver's Creole Jazz Band
Tin Roof Blues,New Orleans Rhythm Kings
Waiting for a Train,Jimmie Rodgers
Kansas City Stomps,Jelly Roll Morton
The Pearls,Jelly Roll Morton
Canal Street Blues,King Oliver's Creole Jazz Band
Kassie Jones,Furry Lewis
Dead Man Blues,Jelly Roll Morton
Les roses blanches,Berthe Sylva
Basin Street Blues (06-11-29),Louisiana Rhythm Kings
A Monday Date,Earl Hines
South,Bennie Moten's Kansas City Orchestra
Dinah,Various Artists
Cake Walking Babies (From Home),Louis Armstrong
Keep My Skillet Good And Greasy,Various Artists
I'm Coming Virginia,Bix Beiderbecke
Stringin the Blues,Joe Venuti & Eddie Lang
Whistle While You Work,Various Artists
Me And My Girl,Various Artists
Let Yourself Go,Various Artists
My Baby Just Cares For Me,Various Artists
Puttin' On The Ritz,Various Artists
It Happened In Monterey,Various Artists
Easy To Love,Various Artists
We Just Couldn't Say Goodbye,Various Artists
Donkey Serenade,Various Artists
La Cucaracha,Various Artists
Love Is The Sweetest Thing,Various Artists
Darling Je Vous Aime Beaucoup,Various Artists
Little White Lies,Various Artists
Falling In Love Again,Various Artists
Nice Work If You Can Get It,Various Artists
I Wished On The Moon,Various Artists
Exactly Like You,Various Artists
Minnie The Moocher (The Ho-De-Ho Song),Various Artists
When The Moon Comes Over The Mountain,Various Artists
Down And Out Blues,Various Artists
I'll Never Be The Same,Various Artists
Happy-Go-Lucky You And Broken-Hearted Me,Various Artists
Oh! Donna Carla!,Various Artists
The Object Of My Affection,Various Artists
I'm In A Dancing Mood,Various Artists
Would You Like to Take a Walk?,Various Artists
Body And Soul,Various Artists
The Way You Look Tonight,Various Artists
I Saw Stars,Various Artists
Let's Face The Music And Dance,Various Artists
You're Driving Me Crazy,Various Artists
Somebody's Thinking Of You Tonight,Various Artists
Blue Moon,Various Artists
I Hadn't Anyone Till You,Various Artists
You're Getting To Be A Habit With Me,Various Artists
Nevertheless,Various Artists
Bei Mir Bist Du Schoen,Various Artists
These Foolish Things,Various Artists
From The Top Of Your Head,Various Artists
Top Hat White Tie And Tails,Various Artists
Your Heart And Mine,Various Artists
Three Little Words,Various Artists
Flat Foot Floogie (With The Floy Floy),Various Artists
Love Walked In,Various Artists
You're A Sweetheart,Various Artists
Jeepers Creepers,Various Artists
Life Is A Song,Various Artists
Sweet and Lovely,Various Artists
I'm Gonna Sit Right Down And Write Myself A Letter,Various Artists
Wrap Your Troubles In Dreams,Various Artists
The Glory Of Love,Various Artists
Lullaby Of Broadway,Various Artists
Stompin' At The Savoy,Various Artists
One Night Of Love,Various Artists
Star dust,Various Artists
A Fine Romance,Various Artists
Walkin' My Baby Back Home,Various Artists
Change Partners,Various Artists
Your Feet's Too Big,Various Artists
I Get A Kick Out Of You,Various Artists
I've Told Ev'ry Little Star,Various Artists
Prisoner of Love,Various Artists
Begin The Beguine,Various Artists
You Couldn't Be Cuter,Various Artists
Lights Out,Various Artists
Until The Real Thing Comes Along,Various Artists
I'm In The Mood For Love,Various Artists
"A Tisket, A Tasket",Various Artists
Isn't It Romantic,Various Artists
The Song Is You,Various Artists
Alone,Various Artists
What A Difference A Day Made,Various Artists
The Touch Of Your Lips,Various Artists
Beyond The Blue Horizon,Various Artists
Cheek To Cheek,Various Artists
I Don't Know Why,Various Artists
As Time Goes By,Various Artists
Wabash Cannon Ball,Various Artists
I'm Confessing That I Love You,Various Artists
Ten Cents A Dance,Various Artists
A Ghost Of A Chance,Various Artists
Happy Feet,Various Artists
Stay As Sweet As You Are,Various Artists
Oh Ma-Ma,Various Artists
Mad Dogs And Englishmen,Various Artists
Just One More Chance,Various Artists
If I Had A Talking Picture Of You,Various Artists
East Of The Sun (And West Of The Moon),Various Artists
Mad About The Boy,Various Artists
Gipsy Moon,Various Artists
Goodnight Sweetheart,Various Artists
Sally,Various Artists
When It's Springtime In The Rockies,Various Artists
Dancing in the Dark,Various Artists
Rockin' Chair,Various Artists
I'm An Old Cowhand (From The Rio Grande),Various Artists
Moonglow,Various Artists
With A Song In My Heart,Various Artists
I'm So Lonesome I Could Cry - Single Version,Hank Williams
La Vie en rose,Édith Piaf
White Christmas,Bing Crosby
Round Midnight,Various Artists
Boogie Chillen,John Lee Hooker
Koko,Charlie Parker
I Will Move On Up A Little Higher - Part 1,Mahalia Jackson
Blue Moon Of Kentucky - Original,Bill Monroe
"Take the ""A"" Train",Duke Ellington
God Bless The Child,Billie Holiday
Call It Stormy Monday (But Tuesday Is Just As Bad),Blues
Caldonia,Louis Jordan & His Tympany Five
Flying Home,Lionel Hampton
Nuages - avec le Quintette Hot Club de France,Django Reinhardt
"Black (First Movement Of Black, Brown And Beige) - Live",Duke Ellington
Manteca,Various Artists
Sentimental Journey,Doris Day
Stormy Weather,Various Artists
(Get Your Kicks On) Route 66 - Remastered,Nat King Cole
La mer (Beyond the Sea),Charles Trenet
Lovesick Blues - Single Version,Hank Williams
Choo Choo Ch' Boogie,Louis Jordan & His Tympany Five
When You Wish Upon A Star,Various Artists
Foggy Mountain Breakdown,Lester Flatt & Earl Scruggs And The Stanley Brothers
It's Too Soon to Know,Various Artists
Solo Flight,Charlie Christian
Les feuilles mortes,Yves Montand
You Are My Sunshine,Jimmie Davis
Driftin' Blues - 1992 Digital Remaster,Charles Brown
Nature Boy,Various Artists
Artistry In Rhythm,Stan Kenton
The Christmas Song (Merry Christmas To You),Nat King Cole
A Night In Tunisia,Dizzy Gillespie
Der Fuehrer's Face,Various Artists
Mule Skinner Blues,Bill Monroe
Boogie Woogie Bugle Boy,The Andrews Sisters
Ko-Ko,Duke Ellington
New San Antonio Rose,Bob Wills & His Texas Playboys
Good Rockin' Tonight,Various Artists
Ornithology (03-28-46),Charlie Parker
Parker's Mood,Charlie Parker
Key to the Highway,Various Artists
Lost Highway,Hank Williams
Move It On Over,Hank Williams
Star Dust,Artie Shaw
Groovin' High,Dizzy Gillespie
Walking The Floor Over You,Various Artists
The Man I Love,Billie Holiday
Let the Good Times Roll,Louis Jordan
Paper Doll - Single Version,The Mills Brothers
As time goes by - Complete vocal by Dooley Wilson,Max Steiner
Straighten Up And Fly Right,Nat King Cole Trio
Good Rockin' Tonight,Roy Brown
Saturday Night Fish Fry,Louis Jordan & His Tympany Five
Tenderly,Sarah Vaughan
Four Brothers,Woody Herman & His Orchestra
For Me And My Gal - Single Version,Judy Garland
Riders In the Sky,Vaughn Monroe
Swinging On A Star,Various Artists
All Or Nothing At All,Harry James
I Love you (For Sentimental Reasons),Nat King Cole
I Can't Be Satisfied,Various Artists
Misterioso - Live,Thelonious Monk
Now's The Time,Charlie Parker
Chicken Shack Boogie - Rerecorded,Amos Milburn
Worried Life Blues,Various Artists
"Rudolph, the Red-Nosed Reindeer (with The Pinafores)",Gene Autry
Jole Blon,Harry Choates
Cocktails For Two,Spike Jones
Salt Peanuts,Dizzy Gillespie
Early Autumn,Woody Herman
Near You,Various Artists
Body and Soul,Billie Holiday
Seven Come Eleven (feat. Benny Goodman & Charlie Christian),Charlie Christian
Swing To Bop,Charlie Christian
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,Billie Holiday
Frenesi,Artie Shaw
Cotton Tail,Duke Ellington
A Night In Tunisia,Charlie Parker
The Honeydripper,Joe Liggins
Boplicity,Miles Davis
Que reste-t-il de nos amours,Charles Trenet
"Oh, Lady Be Good",Ella Fitzgerald
Smoke! Smoke! Smoke! (That Cigarette),Tex Williams
I'll Be Seeing You,Bing Crosby
Hot House,Dizzy Gillespie
Good Enough to Keep (Air Mail Special),Benny Goodman
Harlem Air-Shaft,Duke Ellington
Opus One - 1991 Remastered,Tommy Dorsey
Asa Branca,Various Artists
Take Me Back To Tulsa,Various Artists
Deep In the Heart of Texas,Gene Autry
The Third Man Theme (The Harry Lime Theme) - Original Version,Anton Karas
Cool Water,Sons of the Pioneers
Someone to Watch Over Me - 78rpm Version,Frank Sinatra
The Gypsy,Thomas Newman
Concerto for Cootie - 1999 Remastered,Duke Ellington
Don't Fence Me In,Various Artists
Lover Man - Single Version,Billie Holiday
Rudolph the Red-Nosed Reindeer,Gene Autry
"I Can Dream, Can't I?",The Andrews Sisters
Rag Mop,The Ames Brothers
Chattanoogie Shoe Shine Boy - 1949 Single Version,Red Foley
"Music, Music, Music",Teresa Brewer
If I Knew You Were Comin' I'd've Baked a Cake,Eileen Barton
Mona Lisa,Nat King Cole
Goodnight Irene,The Weavers
Harbor Lights,Sammy Kaye
The Thing,Phil Harris & His Orchestra
Tennessee Waltz,Patti Page
If,Perry Como
Be My Love,Mario Lanza
How High the Moon - Remastered,Les Paul & Mary Ford
Too Young,Nat King Cole
Come On-A My House,Rosemary Clooney
Delicado,Percy Faith
"Cold, Cold Heart",Tony Bennett
(It's No) Sin,Eddy Howard
Cry,Johnnie Ray
Wheel Of Fortune,Kay Starr
Blue Tango,Leroy Anderson
Here In My Heart,Al Martino
Auf Wiederseh'n Sweetheart - 2017 Version,Vera Lynn
You Belong To Me,Jo Stafford
I Went To Your Wedding,Patti Page
"It's In The Book (from ""Comedy Caravan"")",Various Artists
Why Don't You Believe Me - Remastered,Joni James
I Saw Mommy Kissing Santa Claus,Various Artists
Don't Let The Stars Get In Your Eyes,Perry Como
Till I Waltz Again With You,Teresa Brewer
(How Much Is That) Doggie In The Window,Patti Page
The Song from 'moulin Rouge' (Where Is Your Heart),Percy Faith
I'm Walking Behind You - 2001 Remastered,Eddie Fisher
Vaya Con Dios (May God Be With You),Les Paul & Mary Ford
St. George & The Dragonet,Stan Freberg
Rags to Riches - Remastered,Tony Bennett
Oh! My Pa-Pa (O Mein Papa) - 2001 Remastered,Eddie Fisher
Secret Love,Doris Day
Make Love To Me,Various Artists
Wanted (with Henri René & His Orchestra and Chorus),Perry Como
Little Things Mean a Lot (Original Mix),Kitty Kallen
Sh-Boom (Life Could Be A Dream),The Crew Cuts
Hey There,Rosemary Clooney
This Ole House - Single Version,Rosemary Clooney
I Need You Now - 2001 Remastered,Eddie Fisher
Mr. Sandman,The Chordettes
Let Me Go Lover (with Jimmy Carroll & His Orchestra),Various Artists
Hearts of Stone,The Fontaine Sisters
Sincerely,The McGuire Sisters
The Ballad of Davy Crockett,Bill Hayes
Cherry Pink And Apple Blossom White,Pérez Prado
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets
The Yellow Rose of Texas - Single Version,Mitch Miller
Love Is A Many-Splendored Thing,The Four Aces
Autumn Leaves,Roger Williams
Sixteen Tons,Tennessee Ernie Ford
Memories Are Made Of This,Dean Martin
Rock And Roll Waltz,Kay Starr
Lisbon Antigua - Remastered,Various Artists
The Poor People Of Paris (Jean's Song) - Single Version,Les Baxter
Heartbreak Hotel,Elvis Presley
The Wayward Wind,Gogi Grant
"I Want You, I Need You, I Love You",Elvis Presley
My Prayer,The Platters
Don't Be Cruel,Elvis Presley
Hound Dog,Elvis Presley
